Stock no,Description,As is,18K Code,14K Code,10K Code,9K Code,Silver Code,Gold weight,1st Stn,1st Stn qty,1st Stn weight,2nd Stn,2nd Stn qty,2nd Stn weight,3rd Stn,3rd Stn qty,3rd Stn weight,4th Stn,4th Stn qty,4th Stn weight
177035,"SA RING, WG, #17775",189920,202738,196781,190830,189564,181714,4.05,SA,1,2.22,PS,5,1.11,PS,2,0.25,DA,20,0.21
165484,"EM RING, WG, #16091",364123,378173,371620,365112,363723,355125,4.44,EM,1,2.15,DA,2,0.78,,0,0,,0,0
163835,"SA RING, WG, #16237",237812,254651,246796,239020,237337,227035,5.32,SA,1,2.47,OV,8,1.25,,0,0,,0,0
161581,"EM RING, WG, #16092",330485,343146,337244,331385,330128,322382,4,EM,1,1.79,DA,2,1.04,DA,12,0.27,,0,0
161582,"EM RING, WG, #16093",350486,363872,357634,351423,350099,341915,4.23,EM,1,2.02,OV,2,1.16,,0,0,,0,0
178657,"SA RING, WG, #17786",112014,125411,119401,113479,112184,104336,4.06,SA,1,2.38,TD,35,0.32,DA,18,0.63,,0,0
175255,"EM RING, YW, #17477",240051,252140,246519,240920,239694,232310,3.82,EM,1,1.37,PS,2,0.63,,0,0,,0,0
169811,"SA RING, WG, #16837",145446,162407,154508,146653,144963,134584,5.36,SA,1,2.34,DA,10,1.45,,0,0,,0,0
159007,"EM RING, WG, #15710",89464,96116,91885,87712,86794,81269,2.86,EM,1,0.74,DA,2,0.31,,0,0,,0,0
179843,"DA RING, YW, #10630",182549,200966,192394,183865,182011,170754,5.82,DA,2,1.02,DA,16,1.66,DA,12,0.18,DA,4,0.04
180168,"PL RING, PG, #17911",92421,102518,97799,93133,92130,85959,3.19,PL,1,6.05,DA,6,0.39,,0,0,,0,0
172431,"RU RING, WG, #16687",28430,35245,30937,26618,25716,20035,2.93,RU,6,1.36,DA,1,0.09,DA,6,0.22,DA,12,0.2
177635,"RU RING, WG, #17840",111065,125243,118646,112059,110662,101987,4.48,RU,1,1.54,OV,1,0.28,PS,1,0.21,DA,56,0.53
182630,"PS RING, YG, #17946",19929,30278,25471,20675,19629,13304,3.27,PS,2,0.96,DA,88,0.33,,0,0,,0,0
179660,"TZ RING, WG, #17257",32827,41342,37381,33426,32594,27378,2.69,TZ,1,1.7,DA,14,0.43,,0,0,,0,0
183170,"RU RING, WG, #18583",464197,475306,470109,464991,463876,457085,3.51,RU,1,2.98,HM,2,0.67,DA,10,0.6,,0,0
156878,"RU RING, WG, #15567",469984,483468,477196,470948,469617,461355,4.26,RU,1,3.13,CA,2,0.51,DA,8,0.78,DA,8,0.05
